config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
98,center,12,10,"(64,)",0.01,False,0.3299933265416896,0.014760190449927851,0.31443223443223445,0.009083104323475304,0.3156058574565647,0.007685218544189971,0.40219542861327406,0.015900046575369843,0.41111111111111115,0.02078698548207745
99,center,12,10,"(64,)",0.01,True,0.3474223957219649,0.012404058789276395,0.32778388278388276,0.006862830676961397,0.33105165568350803,0.005740415512187804,0.4091686062844955,0.007014160571744425,0.4166666666666667,0.006804138174397715
100,center,12,10,"(64,)",0.1,False,0.32820970340859335,0.015919022875604205,0.3127655677655678,0.008091342108585507,0.3140264568277164,0.007223487244382601,0.3981693028380689,0.012473476893201751,0.4083333333333334,0.018002057495577376
101,center,12,10,"(64,)",0.1,True,0.35262884018372853,0.007916405658948645,0.3312454212454213,0.008494812713707318,0.33547578487678203,0.006792807647209459,0.4102261771263898,0.0070647059585288085,0.4166666666666667,0.0
102,center,12,10,"(128, 64)",0.001,False,0.35501036257345014,0.036128502205380636,0.3334615384615384,0.02644065809991786,0.33651416289655783,0.028563542341126277,0.4240932139624229,0.02874141610965799,0.4388888888888889,0.030681558381075707
103,center,12,10,"(128, 64)",0.001,True,0.36122924846494914,0.012000223970400313,0.3519413919413919,0.009808816624625079,0.35333769785894614,0.01094964323903694,0.4378442761897648,0.0002697968567298689,0.44722222222222224,0.003928371006591943
104,center,12,10,"(128, 64)",0.01,False,0.35655566449803056,0.03662576487180385,0.3351282051282052,0.026672842238667865,0.33813614716206297,0.028748292931757787,0.4267965210715982,0.02919591671163062,0.4416666666666667,0.031180478223116162
105,center,12,10,"(128, 64)",0.01,True,0.35958882261399694,0.010085940014458998,0.3502747252747253,0.007750564330026883,0.35174714148060127,0.009034793327429212,0.4351933488925234,0.0035969519770755356,0.4444444444444445,0.00785674201318386
106,center,12,10,"(128, 64)",0.1,False,0.3260719909288308,0.03266588408214875,0.3158608058608059,0.02967634362240841,0.3172138696256806,0.03060220480869422,0.39703338958568324,0.021748524856276947,0.40833333333333327,0.02357022603955158
107,center,12,10,"(128, 64)",0.1,True,0.3582724073577732,0.012134230131247809,0.3486080586080586,0.009910980556442121,0.3503233177272433,0.011261741472367541,0.43219904287587535,0.004108230953117016,0.44166666666666665,0.006804138174397715
